AssemblyAccession	AssemblyName	Organism	SpeciesTaxid	BioSampleAccn	ContigN50	Coverage	Strain	Pathovar	Owner	Link
GCF_019226825.1	ASM1922682v1	Vibrio ostreae (g-proteobacteria)	2841925	SAMN19522531	3397178	77.5	OG9-811		Korea Research Institute of Bioscience and Biotechnology	734724
GCF_019977755.1	ASM1997775v1	Vibrio penaeicida (g-proteobacteria)	104609	SAMD00318911	4134604	225	IFO 15640T		Laboratory of Genome Science Graduate School of Marine Science and Technology, Tokyo University of Marine Science and Technology	
GCF_021272385.1	ASM2127238v1	Vibrio salinus (g-proteobacteria)	2899784	SAMN23555486	1209233	413	DNF-1		Food Industry Research and Development Institute	785371
GCF_021852965.1	ASM2185296v1	Vibrio floridensis (g-proteobacteria)	2908007	SAMN24611338	367296	50	IRLE0018		University of Central Florida	794138
GCF_022836845.1	ASM2283684v1	Vibrio gelatinilyticus (g-proteobacteria)	2893468	SAMN22999944	214014	100	ZSDZ34		Ocean University of China	778879
GCF_022869905.1	ASM2286990v1	Vibrio furnissii (g-proteobacteria)	29494	SAMN14078808	3275680	700	PartQ-Vfurnissii-RM8376		National Institute of Advanced Industrial Science and Technology, Biomedical Research Institute	605254
GCF_023145695.1	ASM2314569v1	Vibrio amylolyticus (g-proteobacteria)	2847292	SAMN19664016	358791	100	ZSDE26		Ocean University of China	736808
GCF_023634645.1	ASM2363464v1	Vibrio sinus (g-proteobacteria)	2946865	SAMN28614167	203739	100	S4M6		Ocean University of China	841761
GCF_023634655.1	ASM2363465v1	Vibrio methylphosphonaticus (g-proteobacteria)	2946866	SAMN28614169	250504	100	S4B1		Ocean University of China	841763
GCF_023920225.1	ASM2392022v1	Vibrio gazogenes (g-proteobacteria)	687	SAMN26029349	3516273	293	PB1		United Arab Emirates University	808157
GCF_024346755.1	ASM2434675v1	Vibrio aerogenes (g-proteobacteria)	92172	SAMD00393681	3934686	209	LMG 19650		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858687
GCF_024346835.1	ASM2434683v1	Vibrio comitans (g-proteobacteria)	413401	SAMD00393683	3011658	50	LMG 23416		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858687
GCF_024346875.1	ASM2434687v1	Vibrio gallicus (g-proteobacteria)	190897	SAMD00393684	2528163	253	CIP 107863		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858687
GCF_024346915.1	ASM2434691v1	Vibrio gazogenes (g-proteobacteria)	687	SAMD00393685	3516247	126	ATCC 29988		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858687
GCF_024346935.1	ASM2434693v1	Vibrio inusitatus (g-proteobacteria)	413402	SAMD00393686	2861464	36	LMG 23434		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858687
GCF_024346955.1	ASM2434695v1	Vibrio mangrovi (g-proteobacteria)	474394	SAMD00393687	3674542	72	CECT 7927		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858687
GCF_024346975.1	ASM2434697v1	Vibrio neonatus (g-proteobacteria)	278860	SAMD00393688	2746110	231	JCM 21521		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858687
GCF_024346995.1	ASM2434699v1	Vibrio palustris (g-proteobacteria)	1918946	SAMD00393689	2654073	301	CECT 9027		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858687
GCF_024347015.1	ASM2434701v1	Vibrio pectenicida (g-proteobacteria)	62763	SAMD00393690	3227122	246	LMG 19642		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858687
GCF_024347055.1	ASM2434705v1	Vibrio porteresiae DSM 19223 (g-proteobacteria)	435912	SAMD00393692	3625884	284	MSSRF30		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858687
GCF_024347075.1	ASM2434707v1	Vibrio rarus (g-proteobacteria)	413403	SAMD00393694	2846978	912	LMG 23674		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858687
GCF_024347095.1	ASM2434709v1	Vibrio rhizosphaerae (g-proteobacteria)	398736	SAMD00393695	3506364	262	LMG 23790		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858687
GCF_024347135.1	ASM2434713v1	Vibrio spartinae (g-proteobacteria)	1918945	SAMD00393697	4003627	66	CECT 9026		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858687
GCF_024347155.1	ASM2434715v1	Vibrio zhugei (g-proteobacteria)	2479546	SAMD00393698	2901597	51	KCTC 62784		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858687
GCF_024347295.1	ASM2434729v1	Vibrio artabrorum (g-proteobacteria)	446374	SAMD00428683	3104862	310	CECT 7226		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858689
GCF_024347315.1	ASM2434731v1	Vibrio atlanticus (g-proteobacteria)	693153	SAMD00428684	3469123	157	CECT 7223		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858689
GCF_024347335.1	ASM2434733v1	Vibrio celticus (g-proteobacteria)	446372	SAMD00428685	3620060	210	CECT 7224		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858689
GCF_024347355.1	ASM2434735v1	Vibrio chagasii (g-proteobacteria)	170679	SAMD00428686	3413052	140	LMG 21353		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858689
GCF_024347375.1	ASM2434737v1	Vibrio coralliirubri (g-proteobacteria)	1516159	SAMD00428687	3681934	226	DSM 27495		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858689
GCF_024347395.1	ASM2434739v1	Vibrio cortegadensis (g-proteobacteria)	1328770	SAMD00428688	3116092	208	CECT 7227		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858689
GCF_024347415.1	ASM2434741v1	Vibrio crassostreae (g-proteobacteria)	246167	SAMD00428689	3475743	495	LMG 22240		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858689
GCF_024347435.1	ASM2434743v1	Vibrio cyclitrophicus (g-proteobacteria)	47951	SAMD00428690	3415033	106	LMG 21359		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858689
GCF_024347455.1	ASM2434745v1	Vibrio echinoideorum (g-proteobacteria)	2100116	SAMD00428691	3599125	78	DSM 107264		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858689
GCF_024347475.1	ASM2434747v1	Vibrio fortis (g-proteobacteria)	212667	SAMD00428692	3262072	95	LMG 21557		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858689
GCF_024347495.1	ASM2434749v1	Vibrio gallaecicus (g-proteobacteria)	552386	SAMD00428693	3292782	98	CECT 7244		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858689
GCF_024347515.1	ASM2434751v1	Vibrio gigantis (g-proteobacteria)	296199	SAMD00428694	3575998	155	LMG 22741		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858689
GCF_024347535.1	ASM2434753v1	Vibrio kanaloae (g-proteobacteria)	170673	SAMD00428695	3174145	132	LMG 20539		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858689
GCF_024347575.1	ASM2434757v1	Vibrio pelagius (g-proteobacteria)	28169	SAMD00428697	3187009	28	ATCC 25916		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858689
GCF_024347595.1	ASM2434759v1	Vibrio pomeroyi (g-proteobacteria)	198832	SAMD00428698	3635862	141	LMG 20537		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858689
GCF_024347615.1	ASM2434761v1	Vibrio splendidus (g-proteobacteria)	29497	SAMD00428699	3869574	50	LMG 19031		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858689
GCF_024347635.1	ASM2434763v1	Vibrio tasmaniensis (g-proteobacteria)	212663	SAMD00428700	3226267	125	LMG 20012		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858689
GCF_024347655.1	ASM2434765v1	Vibrio toranzoniae (g-proteobacteria)	1194427	SAMD00428701	3169590	180	CECT 7225		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858689
GCF_024347675.1	ASM2434767v1	Vibrio ishigakensis (g-proteobacteria)	1481914	SAMD00512237	2969692	74	C1		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858687
GCF_024508015.1	ASM2450801v1	Vibrio natriegens (g-proteobacteria)	691	SAMN29939551	3253273	211.27	14048		Lawrence Berkeley National Laboratory
Lawrence Berkeley National Lab	607328
607328
GCF_024529975.1	ASM2452997v1	Vibrio quintilis (g-proteobacteria)	1117707	SAMD00393693	4117920	144	CECT 7734		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	858687
GCF_024582835.1	ASM2458283v1	Vibrio japonicus (g-proteobacteria)	1824638	SAMN29984769	2783552	140	JCM 31412		Southern Oregon University Biology Department	862624
GCF_025195085.2	ASM2519508v2	Vibrio intestinalis (g-proteobacteria)	2933291	SAMN27393812	150477	200	YLB-11		Third Institute of Oceanography, Ministry of Natural Resources	824146
GCF_025996475.1	ASM2599647v1	Vibrio agarivorans (g-proteobacteria)	153622	SAMD00191213	403846	50	CECT 5085		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	658019
GCF_026001925.1	ASM2600192v1	Vibrio gangliei (g-proteobacteria)	2077090	SAMD00191212	2595401	1192	DSM 104291		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	658019
GCF_026191655.1	ASM2619165v1	Vibrio paucivorans (g-proteobacteria)	2829489	SAMN25824116	26243	100	DBSS07		ocean university of china	805051
GCF_026191675.1	ASM2619167v1	Vibrio qingdaonensis (g-proteobacteria)	2829491	SAMN25825935	117086	100	ZSDZ65		ocean university of china	805062
GCF_028120825.1	PDT001589074.1	Vibrio cholerae (g-proteobacteria)	666	SAMN32378349	35807	115			Queensland University of Technology	915130
GCF_028204155.1	ASM2820415v1	Vibrio algarum (g-proteobacteria)	3020714	SAMN32723003	3253011	396	KJ40-1		Chung-Ang university	923473
GCF_028863985.1	ASM2886398v1	Vibrio chanodichtyis (g-proteobacteria)	3027932	SAMN33318269	218056	100	DSL-7		Nanjing Agriculteral University	934106
GCF_029589055.1	ASM2958905v1	Vibrio hannami (g-proteobacteria)	2717094	SAMN33963878	1999375	14	KACC 19277		Chung-Ang university	949952
GCF_029635775.1	ASM2963577v1	Vibrio misgurnus (g-proteobacteria)	2993714	SAMN31601653	2483391	80.65	GVC		Sichuan Agricultural University	898135
GCF_030160215.1	ASM3016021v1	Vibrio penaeicida (g-proteobacteria)	104609	SAMD00238649	216650	138	NBRC 15640		Institution of Microbiology, Chinese Academy of Science(WDCM)	http://gctype.wdcm.org/sequencing/GCM10007932 649463
GCF_030160355.1	ASM3016035v1	Vibrio hyugaensis (g-proteobacteria)	1534743	SAMD00238695	220503	65	NBRC 110633		Institution of Microbiology, Chinese Academy of Science(WDCM)	http://gctype.wdcm.org/sequencing/GCM10007906 649470
GCF_030161215.1	ASM3016121v1	Vibrio algivorus (g-proteobacteria)	1667024	SAMD00576824	562727	138	NBRC 111146		WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	918567
GCF_030161235.1	ASM3016123v1	Vibrio zhanjiangensis (g-proteobacteria)	1046128	SAMD00576825	71402	138	NBRC 108723		WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	918567
GCF_030297155.1	ASM3029715v1	Vibrio apostichopi (g-proteobacteria)	3035453	SAMD00603155	3808076	23	FE10		Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	387272
GCF_030398735.1	ASM3039873v1	Vibrio parahaemolyticus (g-proteobacteria)	670	SAMN31360219	403192	120	ATCC 17802		Shanghai Ocean University	891919
GCF_030409575.1	ASM3040957v1	Vibrio ostreicida (g-proteobacteria)	526588	SAMN35653712	3099831	362	CECT 7398		The Institute of Microbiology of the Chinese Academy of Sciences	980407
GCF_030409595.1	ASM3040959v1	Vibrio gallaecicus (g-proteobacteria)	552386	SAMN35653711	1377293	573	CECT 7244		The Institute of Microbiology of the Chinese Academy of Sciences	980407
GCF_030409635.1	ASM3040963v1	Vibrio agarivorans (g-proteobacteria)	153622	SAMN35653709	2672749	830	CECT 5085		The Institute of Microbiology of the Chinese Academy of Sciences	980407
GCF_030409755.1	ASM3040975v1	Vibrio lentus (g-proteobacteria)	136468	SAMN35653710	3699116	537	CECT 5110		The Institute of Microbiology of the Chinese Academy of Sciences	980407
GCF_030409945.1	ASM3040994v1	Vibrio tapetis subsp. quintayensis (g-proteobacteria)	52443	SAMN35653671	358735	149	CECT 8851		The Institute of Microbiology of the Chinese Academy of Sciences	980407
GCF_030409995.1	ASM3040999v1	Vibrio artabrorum (g-proteobacteria)	446374	SAMN35653667	3138694	103	CECT 7226		The Institute of Microbiology of the Chinese Academy of Sciences	980407
GCF_030410015.1	ASM3041001v1	Vibrio cortegadensis (g-proteobacteria)	1328770	SAMN35653668	287246	149	CECT 7227		The Institute of Microbiology of the Chinese Academy of Sciences	980407
GCF_030410025.1	ASM3041002v1	Vibrio breoganii (g-proteobacteria)	553239	SAMN35653666	133131	149	CECT 7222		The Institute of Microbiology of the Chinese Academy of Sciences	980407
GCF_033542575.1	ASM3354257v1	Vibrio mangrovi (g-proteobacteria)	474394	SAMN38072521	3671360	60	MSSRF38		National Institute for Interdisciplinary Science and Technology (CSIR)	1034771
GCF_033542615.1	ASM3354261v1	Vibrio plantisponsor (g-proteobacteria)	664643	SAMN38072522	3183634	60	MSSRF60		National Institute for Interdisciplinary Science and Technology (CSIR)	1034771
GCF_033566895.1	ASM3356689v1	Vibrio porteresiae DSM 19223 (g-proteobacteria)	435912	SAMN38055186	3625883	67	MSSRF30		National Institute for Interdisciplinary Science and Technology (CSIR)	1034238
GCF_033843085.1	ASM3384308v1	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759 (g-proteobacteria)	691	SAMN38186253	3253271	269	ATCC 14048		Cultivarium	1037563
GCF_035621455.1	ASM3562145v1	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759 (g-proteobacteria)	691	SAMN39198438	3178004	60	ATCC 14048		Binomica Labs	1059042
GCF_037162445.1	ASM3716244v1	Vibrio coralliilyticus (g-proteobacteria)	190893	SAMN33769421	3452511	41	DSM 19607		GEOMAR Helmholtz Centre for Ocean Research	944971
GCF_038452265.1	ASM3845226v1	Vibrio diazotrophicus (g-proteobacteria)	685	SAMN40924084	3324879	100	ATCC 33466		Zhejiang Ocean University	
GCF_039544775.1	ASM3954477v1	Vibrio proteolyticus (g-proteobacteria)	671	SAMD00537523	267191	234	NBRC 13287		Biological Resource Center, NITE (NBRC)	1092441
GCF_040412085.2	ASM4041208v1	Vibrio chaetopteri (g-proteobacteria)	3016528	SAMN32381379	3497892	141	CB1-14		G.B. Elyakov Pacific Institute of Bioorganic Chemistry	816275
GCF_041860215.1	ASM4186021v1	Vibrio gazogenes (g-proteobacteria)	687	SAMN40870277	3516262	134	DSM 21264		Georg-August-University Goettingen	1097500
GCF_042245395.1	ASM4224539v1	Vibrio iocasae (g-proteobacteria)	3098914	SAMN38455655	3689496	253	HN007		Institute of Oceanology, Chinese Academy of Sciences	1045832
GCF_042428525.1	ASM4242852v1	Vibrio olivae (g-proteobacteria)	1243002	SAMN43281873	349365	100	CECT 8064		The Institute of Microbiology of the Chinese Academy of Sciences	595761
GCF_042430065.1	ASM4243006v1	Vibrio gallaecicus (g-proteobacteria)	552386	SAMN43281870	316295	99	CECT 7244		The Institute of Microbiology of the Chinese Academy of Sciences	595761
GCF_042430445.1	ASM4243044v1	Vibrio ostreicida (g-proteobacteria)	526588	SAMN43281872	184709	114	CECT 7398		The Institute of Microbiology of the Chinese Academy of Sciences	595761
GCF_042430465.1	ASM4243046v1	Vibrio sinaloensis (g-proteobacteria)	379097	SAMN43281871	328957	100	CECT 7298		The Institute of Microbiology of the Chinese Academy of Sciences	595761
GCF_042430505.1	ASM4243050v1	Vibrio agarivorans (g-proteobacteria)	153622	SAMN43281867	173133	100	CECT 5085		The Institute of Microbiology of the Chinese Academy of Sciences	595761
GCF_042430545.1	ASM4243054v1	Vibrio artabrorum (g-proteobacteria)	446374	SAMN43281869	172921	66	CECT 7226		The Institute of Microbiology of the Chinese Academy of Sciences	595761
GCF_042430565.1	ASM4243056v1	Vibrio lentus (g-proteobacteria)	136468	SAMN43281868	156148	100	CECT 5110		The Institute of Microbiology of the Chinese Academy of Sciences	595761
GCF_042643505.1	ASM4264350v1	Vibrio zhugei (g-proteobacteria)	2479546	SAMN43282305	59308	139	KCTC 62784		The Institute of Microbiology of the Chinese Academy of Sciences	595761
GCF_042653465.1	ASM4265346v1	Vibrio thalassae (g-proteobacteria)	1243014	SAMN43282974	3519357	695.92	KCTC 32373		The Institute of Microbiology of the Chinese Academy of Sciences	595761
GCF_042682965.1	ASM4268296v1	Vibrio thalassae (g-proteobacteria)	1243014	SAMN43282520	67696	110	KCTC 32373		The Institute of Microbiology of the Chinese Academy of Sciences	595761
GCF_050337155.1	ASM5033715v1	Vibrio cionasavignyae (g-proteobacteria)	2910252	SAMN24907486	203367	100	JAMM2507		Universidade Federal do Rio de Janeiro	796716
GCF_050337205.1	ASM5033720v1	Vibrio nomapromontoriensis (g-proteobacteria)	2910246	SAMN24907485	454362	100	JAMM1728		Universidade Federal do Rio de Janeiro	796716
GCF_050337265.1	ASM5033726v1	Vibrio lamellibrachiae (g-proteobacteria)	2910253	SAMN24907483	443869	100	JAMM2626		Universidade Federal do Rio de Janeiro	796716
GCF_050337275.1	ASM5033727v1	Vibrio wakamikoensis (g-proteobacteria)	2910251	SAMN24907484	199133	100	JAMM2464		Universidade Federal do Rio de Janeiro	796716
GCF_050337325.1	ASM5033732v1	Vibrio kyushuensis (g-proteobacteria)	2910249	SAMN24907482	461557	100	JAMM1822		Universidade Federal do Rio de Janeiro	796716
GCF_050337375.1	ASM5033737v1	Vibrio makurazakiensis (g-proteobacteria)	2910250	SAMN24907481	17330	100	JAMM1826		Universidade Federal do Rio de Janeiro	796716
GCF_050337435.1	ASM5033743v1	Vibrio satsumensis (g-proteobacteria)	2910245	SAMN24907480	364208	100	JAMM0822		Universidade Federal do Rio de Janeiro	796716
GCF_050337445.1	ASM5033744v1	Vibrio minamisatsumaniensis (g-proteobacteria)	2910243	SAMN24907479	42222	100	JAMM0571		Universidade Federal do Rio de Janeiro	796716
GCF_050337535.1	ASM5033753v1	Vibrio kagoshimensis (g-proteobacteria)	2910244	SAMN24907478	229709	100	JAMM0761		Universidade Federal do Rio de Janeiro	796716
GCF_050337555.1	ASM5033755v1	Vibrio profundum (g-proteobacteria)	2910247	SAMN24907477	212126	100	JAMM1780		Universidade Federal do Rio de Janeiro	796716
GCF_050337565.1	ASM5033756v1	Vibrio kasasachensis (g-proteobacteria)	2910248	SAMN24907476	234290	100	JAMM1812		Universidade Federal do Rio de Janeiro	796716
GCF_050337905.1	ASM5033790v1	Vibrio clamense (g-proteobacteria)	2910254	SAMN24907468	369338	100	JAMM0920		Universidade Federal do Rio de Janeiro	796716
GCF_050870795.1	ASM5087079v1	Vibrio sinus (g-proteobacteria)	2946865	SAMN48721177	3276461	577	S4M6		Ocean university of China	126747
GCF_051660965.1	ASM5166096v1	Vibrio glycogenivorans (g-proteobacteria)	3450709	SAMN50024600	398256	458	WXL210		Ocean university of China	1293533
GCF_053890595.1	ASM5389059v1	Vibrio proteolyticus (g-proteobacteria)	671	SAMN53664419	3242352	137	ATCC 15338		Tel Aviv University	1373524
GCF_054783715.1	ASM5478371v1	Vibrio panuliri (g-proteobacteria)	1381081	SAMD00809334	567807	127	JCM 19500		Japan Collection of Microorganisms	661485
GCF_055391395.1	ASM5539139v1	Vibrio sabulosilitoris (g-proteobacteria)	3119826	SAMD00746872	3418677	41	MAO6		Fukui Prefectural University	1078604
GCF_900088415.1	VmediterraneiCECT0621_SPAdes_Prokka	Vibrio mediterranei (g-proteobacteria)	689	SAMEA2343670	523683	83			EBI	
GCF_900089765.1	VtoranzoniaeCECT7225_SPAdes_Prokka	Vibrio toranzoniae (g-proteobacteria)	1194427	SAMEA4016015	418274	113	CECT 7225		EBI	
GCF_900089835.1	VthalassaeCECT8203_Velvet_Prokka	Vibrio thalassae (g-proteobacteria)	1243014	SAMEA2343672	74766	92	CECT8203		EBI	
GCF_900089845.1	VhemicentrotiCECT8714_SPAdes_Prokka	Vibrio splendidus (g-proteobacteria)	29497	SAMEA4028999	295020	137	CECT 8714		EBI	
GCF_900089855.1	VatlanticusCECT7223_Velvet_Prokka	Vibrio atlanticus (g-proteobacteria)	693153	SAMEA4029004	100357	78	CECT 7223		EBI	
GCF_900089965.1	VcelticusCECT7224_Velvet_Prokka	Vibrio celticus (g-proteobacteria)	446372	SAMEA4029005	67475	48	CECT 7224		EBI	
GCF_900100015.1	IMG-taxon 2617270927 annotated assembly	Vibrio xiamenensis (g-proteobacteria)	861298	SAMN04488136	141346	237	CGMCC 1.10228		DOE Joint Genome Institute	https://gold.jgi.doe.gov/projects?id=Gp0113069 303881
GCF_900107935.1	IMG-taxon 2617270906 annotated assembly	Vibrio hangzhouensis (g-proteobacteria)	462991	SAMN04488244	171219	246	CGMCC 1.7062		DOE Joint Genome Institute	https://gold.jgi.doe.gov/projects?id=Gp0112595 303530
GCF_900129185.1	IMG-taxon 2582581274 annotated assembly	Vibrio gazogenes DSM 21264 = NBRC 103151 (g-proteobacteria)	687	SAMN02745781	163466	427	DSM 21264		DOE Joint Genome Institute	245744 http://genomesonline.org/cgi-bin/GOLD/GOLDCards.cgi?goldstamp=Gi12044
GCF_900130105.1	Vibrio.aerogenes_CECT 7868_Velvet_Prokka	Vibrio aerogenes CECT 7868 (g-proteobacteria)	92172	SAMEA4552037	132421	103	CECT 7868		EBI	
GCF_900143745.1	V.quintilis_CECT7734T_Velvet_Prokka_EMBL	Vibrio quintilis (g-proteobacteria)	1117707	SAMEA18850168	87700	98			EBI	
GCF_900149295.1	V.spartinae_CECT9026T_Velvet_Prokka	Vibrio spartinae (g-proteobacteria)	1918945	SAMEA26613418	241858	183	CECT 9026T		EBI	
GCF_900162645.1	V_palustris_CECT9027T_Velvet_Prokka_EMBL	Vibrio palustris (g-proteobacteria)	1918946	SAMEA26629168	1061100	182	CECT 9027T		EBI	
GCF_900163915.1	V_gazogenes _CECT5068T_Velvet_Prokka_EMBL	Vibrio gazogenes (g-proteobacteria)	687	SAMEA78796918	45732	107	CECT 5068T		EBI	
GCF_900163965.1	V_ruber_CECT7878T_Velvet_Prokka_EMBL	Vibrio ruber DSM 16370 (g-proteobacteria)	184755	SAMEA78797668	110014	114	CECT 7878T		EBI	
GCF_900167345.1	IMG-taxon 2568526007 annotated assembly	Vibrio cincinnatiensis DSM 19608 (g-proteobacteria)	675	SAMN02745782	185712	409	DSM 19608		DOE Joint Genome Institute	234794 http://genomesonline.org/cgi-bin/GOLD/GOLDCards.cgi?goldstamp=Gi12043
GCF_900184095.1	Vmangrovi_CECT7927_Spades_Prokka	Vibrio mangrovi (g-proteobacteria)	474394	SAMEA103894552	523667	128	CECT 7927		EBI	
GCF_900233005.1	Vibrio tapetis CECT4600	Vibrio tapetis subsp. tapetis (g-proteobacteria)	52443	SAMEA104345892	3788452	100			EBI	
GCF_900452855.1	51765_A01	Vibrio anguillarum (g-proteobacteria)	55601	SAMEA4504064	3192191	100	NCTC12159		EBI	
GCF_900460165.1	51765_C01	Vibrio harveyi (g-proteobacteria)	669	SAMEA4504066	389611	100	NCTC12970		EBI	
GCF_900460225.1	52191_B01	Vibrio furnissii (g-proteobacteria)	29494	SAMEA4530654	3275677	100	NCTC13120		EBI	
GCF_900460245.1	41665_F02	Vibrio fluvialis (g-proteobacteria)	676	SAMEA3539715	3169234	100	NCTC11327		EBI	
GCF_900460255.1	34500_B01	Vibrio cincinnatiensis (g-proteobacteria)	675	SAMEA3121335	2772819	100	NCTC12012		EBI	
GCF_900460285.1	50465_H01	Vibrio alginolyticus (g-proteobacteria)	663	SAMEA4384071	393735	100	NCTC12160		EBI	
GCF_900460295.1	51108_A01	Vibrio metschnikovii (g-proteobacteria)	28172	SAMEA4442457	2829732	100	NCTC8443		EBI	
GCF_900460385.1	42650_F01	Vibrio mimicus (g-proteobacteria)	674	SAMEA3643325	2982507	100	NCTC11435		EBI	
GCF_900460535.1	42650_C02	Vibrio parahaemolyticus (g-proteobacteria)	670	SAMEA3649022	3297116	100	NCTC10903		EBI	
GCF_900460565.1	34500_C01	Vibrio vulnificus (g-proteobacteria)	672	SAMEA3121336	3251517	100	NCTC13647		EBI	
GCF_921292975.1	V_hippocampi_CECT8226	Vibrio hippocampi (g-proteobacteria)	654686	SAMEA10829610	2415900	190	CECT 8226		EBI	
GCF_921293875.1	V_stylophorae_CECT7929	Vibrio stylophorae (g-proteobacteria)	659351	SAMEA10829028	2875824	218	CECT 7929		EBI	
GCF_921294215.1	V_marisflavi_CECT7928	Vibrio marisflavi CECT 7928 (g-proteobacteria)	1216040	SAMEA10813684	2906288	314	CECT 7928		EBI	
GCF_944737995.1	Vibrio_aestuarianus_02_041	Vibrio aestuarianus subsp. francensis (g-proteobacteria)	28171	SAMEA110138230	2394840	100	02/041		EBI	
GCF_965135895.1	CIP103191T	Vibrio diazotrophicus (g-proteobacteria)	685	SAMEA117660290	79684	130	CIP103191T		EBI	
GCF_965135965.1	CIP102760T	Vibrio tubiashii (g-proteobacteria)	29498	SAMEA117660281	570224	101	CIP102760T		EBI	
GCF_965136005.1	CIP103205T	Vibrio ordalii (g-proteobacteria)	28174	SAMEA117660291	29202	129	CIP103205T		EBI	
GCF_965136035.1	CIP103355T	Vibrio fluvialis (g-proteobacteria)	676	SAMEA117660297	188807	160	CIP103355T		EBI	
GCF_965136275.1	CIP103929T	Vibrio mytili (g-proteobacteria)	50718	SAMEA117660314	139973	152	CIP103929T		EBI	
GCF_965138405.1	CIP111709T	Vibrio aquimaris (g-proteobacteria)	2587862	SAMEA117660635	177755	143	CIP111709T		EBI	
GCF_965138855.1	CIP109791T	Vibrio aestuarianus subsp. francensis (g-proteobacteria)	28171	SAMEA117660479	67913	199	CIP109791T		EBI	
GCF_965139125.1	CIP75.2T	Vibrio parahaemolyticus (g-proteobacteria)	670	SAMEA117660724	521324	341	CIP75.2T		EBI	
